"CVDWDI.Code.or.Value","CVDWDI.Value.Description","CVDWDI.Count","CVDWDI.Cumulative","CVDWDI.Skip.to.Item"
"39 to 143","Range of Values",2748,2748,NA
".","Missing",1854,4602,NA
