"ORXH58.Code.or.Value","ORXH58.Value.Description","ORXH58.Count","ORXH58.Cumulative","ORXH58.Skip.to.Item"
"1","Positive",12,12,NA
"2","Negative",4398,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
