"URXOP1.Code.or.Value","URXOP1.Value.Description","URXOP1.Count","URXOP1.Cumulative","URXOP1.Skip.to.Item"
"0.0707 to 622","Range of Values",2801,2801,NA
".","Missing",185,2986,NA
