"DIQ172.Code.or.Value","DIQ172.Value.Description","DIQ172.Count","DIQ172.Cumulative","DIQ172.Skip.to.Item"
"1","Yes",1562,1562,""
"2","No",4494,6056,"DIQ180"
"7","Refused",1,6057,"DIQ180"
"9","Don't know",67,6124,"DIQ180"
".","Missing",3240,9364,""
