"WTSSPH2Y.Code.or.Value","WTSSPH2Y.Value.Description","WTSSPH2Y.Count","WTSSPH2Y.Cumulative","WTSSPH2Y.Skip.to.Item"
"16976.25749 to 443049.06765","Range of Values",525,525,NA
"0","No lab specimen",0,525,NA
".","Missing",0,525,NA
