"LBXHCB.Code.or.Value","LBXHCB.Value.Description","LBXHCB.Count","LBXHCB.Cumulative","LBXHCB.Skip.to.Item"
"0.057 to 1.638","Range of Values",2277,2277,NA
".","Missing",270,2547,NA
