"SSKL_R.Code.or.Value","SSKL_R.Value.Description","SSKL_R.Count","SSKL_R.Cumulative","SSKL_R.Skip.to.Item"
"0.0525 to 5.92","Range of Values",147,147,NA
".","Missing",1570,1717,NA
