"DXDTOBMD.Code.or.Value","DXDTOBMD.Value.Description","DXDTOBMD.Count","DXDTOBMD.Cumulative","DXDTOBMD.Skip.to.Item"
"0.55 to 1.518","Range of Values",4613,4613,NA
".","Missing",1167,5780,NA
