"MCQ240F.Code.or.Value","MCQ240F.Value.Description","MCQ240F.Count","MCQ240F.Cumulative","MCQ240F.Skip.to.Item"
"16 to 63","Range of Values",42,42,NA
"80","80 years or older",0,42,NA
"77777","Refused",0,42,NA
"99999","Don't know",0,42,NA
".","Missing",9624,9666,NA
