"PADTIMES.Code.or.Value","PADTIMES.Value.Description","PADTIMES.Count","PADTIMES.Cumulative","PADTIMES.Skip.to.Item"
"1 to 300","Range of Values",12847,12847,NA
".","Missing",20,12867,NA
