"OSD030cj.Code.or.Value","OSD030cj.Value.Description","OSD030cj.Count","OSD030cj.Cumulative","OSD030cj.Skip.to.Item"
"85","85 or older",1,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",5040,5041,NA
