"CVDEXCL4.Code.or.Value","CVDEXCL4.Value.Description","CVDEXCL4.Count","CVDEXCL4.Cumulative","CVDEXCL4.Skip.to.Item"
"1","Yes",161,161,NA
"2","No",638,799,NA
".","Missing",3803,4602,NA
