"WTSPO41.Code.or.Value","WTSPO41.Value.Description","WTSPO41.Count","WTSPO41.Cumulative","WTSPO41.Skip.to.Item"
"0.0000000 to 856187.7669200","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
