"DS2IVC.Code.or.Value","DS2IVC.Value.Description","DS2IVC.Count","DS2IVC.Cumulative","DS2IVC.Skip.to.Item"
"1 to 15000","Range of Values",2141,2141,NA
".","Missing",3385,5526,NA
