"DS2TVC.Code.or.Value","DS2TVC.Value.Description","DS2TVC.Count","DS2TVC.Cumulative","DS2TVC.Skip.to.Item"
"1.2 to 18000","Range of Values",1876,1876,NA
".","Missing",7937,9813,NA
