"WTSPH29.Code.or.Value","WTSPH29.Value.Description","WTSPH29.Count","WTSPH29.Cumulative","WTSPH29.Skip.to.Item"
"0 to 789325.00184","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
