"DRD370MQ.Code.or.Value","DRD370MQ.Value.Description","DRD370MQ.Count","DRD370MQ.Cumulative","DRD370MQ.Skip.to.Item"
"1 to 25","Range of Values",1745,1745,NA
".","Missing",8508,10253,NA
