"HCQ230.Code.or.Value","HCQ230.Value.Description","HCQ230.Count","HCQ230.Cumulative","HCQ230.Skip.to.Item"
"1","True",19,19,NA
"2","False",5,24,NA
"7","Refused",0,24,NA
"9","Don't know",11,35,NA
".","Missing",72,107,NA
