"LBXMOPCT.Code.or.Value","LBXMOPCT.Value.Description","LBXMOPCT.Count","LBXMOPCT.Cumulative","LBXMOPCT.Skip.to.Item"
"0.8 to 40.4","Range of Values",8787,8787,NA
".","Missing",1048,9835,NA
