"DR2CCMTX.Code.or.Value","DR2CCMTX.Value.Description","DR2CCMTX.Count","DR2CCMTX.Cumulative","DR2CCMTX.Skip.to.Item"
"0","Non-combination food",61813,61813,NA
"1","Beverage w/ additions",8321,70134,NA
"2","Cereal w/ additions",4112,74246,NA
"3","Bread/baked products w/ additions",3968,78214,NA
"4","Salad",4705,82919,NA
"5","Sandwiches",7204,90123,NA
"6","Soup",556,90679,NA
"7","Frozen meals",58,90737,NA
"8","Ice cream/frozen yogurt w/ additions",250,90987,NA
"9","Dried beans and vegetable w/ additions",2408,93395,NA
"10","Fruit w/ additions",498,93893,NA
"11","Tortilla products",1407,95300,NA
"12","Meat, poultry, fish",1693,96993,NA
"13","LunchablesÂ®",198,97191,NA
"14","Chips w/ additions",346,97537,NA
"90","Other mixtures",3143,100680,NA
".","Missing",0,100680,NA
