"TYXP016.Code.or.Value","TYXP016.Value.Description","TYXP016.Count","TYXP016.Cumulative","TYXP016.Skip.to.Item"
"15 to 190","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
