"FSD081.Code.or.Value","FSD081.Value.Description","FSD081.Count","FSD081.Cumulative","FSD081.Skip.to.Item"
"1","Yes",462,462,NA
"2","No",2927,3389,NA
"7","Refused",0,3389,NA
"9","Don't know",14,3403,NA
".","Missing",5851,9254,NA
