"DRD370D.Code.or.Value","DRD370D.Value.Description","DRD370D.Count","DRD370D.Cumulative","DRD370D.Skip.to.Item"
"1","Yes",882,882,""
"2","No",4407,5289,"DRD370E"
".","Missing",4049,9338,""
