"DR1TP183.Code.or.Value","DR1TP183.Value.Description","DR1TP183.Count","DR1TP183.Cumulative","DR1TP183.Skip.to.Item"
"0 to 10.933","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
