"OHD05LAM.Code.or.Value","OHD05LAM.Value.Description","OHD05LAM.Count","OHD05LAM.Cumulative","OHD05LAM.Skip.to.Item"
"0 to 8","Range of Values",1390,1390,NA
"99","Calculation cannot be determined",402,1792,NA
".","Missing",4966,6758,NA
