"BIXC028K.Code.or.Value","BIXC028K.Value.Description","BIXC028K.Count","BIXC028K.Cumulative","BIXC028K.Skip.to.Item"
"26.75 to 390.29","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
