"DS1TIRON.Code.or.Value","DS1TIRON.Value.Description","DS1TIRON.Count","DS1TIRON.Cumulative","DS1TIRON.Skip.to.Item"
"0 to 278","Range of Values",1067,1067,NA
".","Missing",8695,9762,NA
