"TYXA136.Code.or.Value","TYXA136.Value.Description","TYXA136.Count","TYXA136.Cumulative","TYXA136.Skip.to.Item"
"0.09 to 6.371","Range of Values",4315,4315,NA
".","Missing",1270,5585,NA
