"LBXSAL.Code.or.Value","LBXSAL.Value.Description","LBXSAL.Count","LBXSAL.Cumulative","LBXSAL.Skip.to.Item"
"2.1 to 5.5","Range of Values",5976,5976,NA
".","Missing",573,6549,NA
