"URDOXYLC.Code.or.Value","URDOXYLC.Value.Description","URDOXYLC.Count","URDOXYLC.Cumulative","URDOXYLC.Skip.to.Item"
"0","At or above the detection limit",604,604,NA
"1","Below lower detection limit",1817,2421,NA
".","Missing",84,2505,NA
