"LBCD01LA.Code.or.Value","LBCD01LA.Value.Description","LBCD01LA.Count","LBCD01LA.Cumulative","LBCD01LA.Skip.to.Item"
"0.18 to 26.3","Range of Values",247,247,NA
".","Missing",17,264,NA
