"BIXC220K.Code.or.Value","BIXC220K.Value.Description","BIXC220K.Count","BIXC220K.Cumulative","BIXC220K.Skip.to.Item"
"15.18 to 112.62","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
