"AUXR3KR.Code.or.Value","AUXR3KR.Value.Description","AUXR3KR.Count","AUXR3KR.Cumulative","AUXR3KR.Skip.to.Item"
"40 to 115","Range of Values",11,11,NA
"666","No response",0,11,NA
"888","Could not obtain",0,11,NA
".","Missing",1878,1889,NA
