"RHD442.Code.or.Value","RHD442.Value.Description","RHD442.Count","RHD442.Cumulative","RHD442.Skip.to.Item"
"1","Yes",184,184,""
"2","No",805,989,""
"7","Refused",0,989,"RHQ510"
"9","Don't know",0,989,"RHQ510"
".","Missing",2495,3484,""
