"DSD122Q.Code.or.Value","DSD122Q.Value.Description","DSD122Q.Count","DSD122Q.Cumulative","DSD122Q.Skip.to.Item"
"0.05 to 96","Range of Values",8149,8149,NA
"777777","Refused",0,8149,NA
"999999","Don't know",1,8150,NA
".","Missing",135,8285,NA
