"DS1TCHL.Code.or.Value","DS1TCHL.Value.Description","DS1TCHL.Count","DS1TCHL.Cumulative","DS1TCHL.Skip.to.Item"
"0.005 to 414","Range of Values",475,475,NA
".","Missing",8863,9338,NA
