"AUXU8KR.Code.or.Value","AUXU8KR.Value.Description","AUXU8KR.Count","AUXU8KR.Cumulative","AUXU8KR.Skip.to.Item"
"-10 to 110","Range of Values",1876,1876,NA
"666","No response",4,1880,NA
"888","Could not obtain",0,1880,NA
".","Missing",166,2046,NA
