"LBXEOA.Code.or.Value","LBXEOA.Value.Description","LBXEOA.Count","LBXEOA.Cumulative","LBXEOA.Skip.to.Item"
"9.28 to 1781.19","Range of Values",2410,2410,NA
".","Missing",195,2605,NA
