"DR2TM221.Code.or.Value","DR2TM221.Value.Description","DR2TM221.Count","DR2TM221.Cumulative","DR2TM221.Skip.to.Item"
"0 to 10.415","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
