"OPDDRPE.Code.or.Value","OPDDRPE.Value.Description","OPDDRPE.Count","OPDDRPE.Cumulative","OPDDRPE.Skip.to.Item"
"0","No",2279,2279,NA
"1","Yes",54,2333,NA
".","Missing",601,2934,NA
