"BMXLEG.Code.or.Value","BMXLEG.Value.Description","BMXLEG.Count","BMXLEG.Cumulative","BMXLEG.Skip.to.Item"
"24.8 to 52.8","Range of Values",6955,6955,NA
".","Missing",2383,9338,NA
