"DS2TFDFE.Code.or.Value","DS2TFDFE.Value.Description","DS2TFDFE.Count","DS2TFDFE.Cumulative","DS2TFDFE.Skip.to.Item"
"3 to 10710","Range of Values",1630,1630,NA
".","Missing",7708,9338,NA
