"DX2TOLI.Code.or.Value","DX2TOLI.Value.Description","DX2TOLI.Count","DX2TOLI.Cumulative","DX2TOLI.Skip.to.Item"
"27592.3 to 88093.3","Range of Values",414,414,NA
".","Missing",71,485,NA
