"LBXSGL.Code.or.Value","LBXSGL.Value.Description","LBXSGL.Count","LBXSGL.Cumulative","LBXSGL.Skip.to.Item"
"46 to 512","Range of Values",6492,6492,NA
".","Missing",498,6990,NA
