"LBDF05LC.Code.or.Value","LBDF05LC.Value.Description","LBDF05LC.Count","LBDF05LC.Cumulative","LBDF05LC.Skip.to.Item"
"0","detectable result",404,404,NA
"1","below detectable limit",1494,1898,NA
".","Missing",376,2274,NA
