"PAQ724s.Code.or.Value","PAQ724s.Value.Description","PAQ724s.Count","PAQ724s.Cumulative","PAQ724s.Skip.to.Item"
"19","RUNNING/JOGGING",926,926,NA
".","Missing",8558,9484,NA
