"LBDSCR.Code.or.Value","LBDSCR.Value.Description","LBDSCR.Count","LBDSCR.Cumulative","LBDSCR.Skip.to.Item"
"0.1 to 12.9","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
