"DR2TS120.Code.or.Value","DR2TS120.Value.Description","DR2TS120.Count","DR2TS120.Cumulative","DR2TS120.Skip.to.Item"
"0 to 56.725","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
