"DR2IS140.Code.or.Value","DR2IS140.Value.Description","DR2IS140.Count","DR2IS140.Cumulative","DR2IS140.Skip.to.Item"
"0 to 15.557","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
