"ENQ090.Code.or.Value","ENQ090.Value.Description","ENQ090.Count","ENQ090.Cumulative","ENQ090.Skip.to.Item"
"1","Yes",296,296,NA
"2","No",6877,7173,NA
"7","Refused",0,7173,NA
"9","Don't know",3,7176,NA
".","Missing",1019,8195,NA
