"ALQ130.Code.or.Value","ALQ130.Value.Description","ALQ130.Count","ALQ130.Cumulative","ALQ130.Skip.to.Item"
"1 to 36","Range of Values",2650,2650,NA
"77","Refused",0,2650,NA
"99","Don't know",6,2656,NA
".","Missing",1788,4444,NA
