"WBXF078.Code.or.Value","WBXF078.Value.Description","WBXF078.Count","WBXF078.Cumulative","WBXF078.Skip.to.Item"
"3462.1462 to 3462.1462","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
