"URXMIB.Code.or.Value","URXMIB.Value.Description","URXMIB.Count","URXMIB.Cumulative","URXMIB.Skip.to.Item"
"0.7 to 200","Range of Values",2782,2782,NA
".","Missing",119,2901,NA
