"SSEBVIND.Code.or.Value","SSEBVIND.Value.Description","SSEBVIND.Count","SSEBVIND.Cumulative","SSEBVIND.Skip.to.Item"
"0 to 6.72","Range of Values",2701,2701,NA
".","Missing",0,2701,NA
