"DS2ILZ.Code.or.Value","DS2ILZ.Value.Description","DS2ILZ.Count","DS2ILZ.Cumulative","DS2ILZ.Skip.to.Item"
"42.5 to 20000","Range of Values",800,800,NA
".","Missing",4848,5648,NA
