"LBDPFHSL.Code.or.Value","LBDPFHSL.Value.Description","LBDPFHSL.Count","LBDPFHSL.Cumulative","LBDPFHSL.Skip.to.Item"
"0","At or above the detection limit",2084,2084,NA
"1","Below lower detection limit",16,2100,NA
".","Missing",194,2294,NA
