"LBXGLU.Code.or.Value","LBXGLU.Value.Description","LBXGLU.Count","LBXGLU.Cumulative","LBXGLU.Skip.to.Item"
"39 to 382","Range of Values",3033,3033,NA
".","Missing",206,3239,NA
