"LBXBEC.Code.or.Value","LBXBEC.Value.Description","LBXBEC.Count","LBXBEC.Cumulative","LBXBEC.Skip.to.Item"
"0.8 to 242.3","Range of Values",8351,8351,NA
"0.57","Fill Value of Limit of Detection",7,8358,NA
".","Missing",904,9262,NA
