"BIXS115K.Code.or.Value","BIXS115K.Value.Description","BIXS115K.Count","BIXS115K.Cumulative","BIXS115K.Skip.to.Item"
"146.66 to 922.2","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
