"BIXC025K.Code.or.Value","BIXC025K.Value.Description","BIXC025K.Count","BIXC025K.Cumulative","BIXC025K.Skip.to.Item"
"21.57 to 132.8","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
