"DR1TP184.Code.or.Value","DR1TP184.Value.Description","DR1TP184.Count","DR1TP184.Cumulative","DR1TP184.Skip.to.Item"
"0 to 0.526","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
