"LBX2DF.Code.or.Value","LBX2DF.Value.Description","LBX2DF.Count","LBX2DF.Cumulative","LBX2DF.Skip.to.Item"
"0.008 to 1.14","Range of Values",2866,2866,NA
".","Missing",306,3172,NA
