"LBXMPSI.Code.or.Value","LBXMPSI.Value.Description","LBXMPSI.Count","LBXMPSI.Cumulative","LBXMPSI.Skip.to.Item"
"5 to 12.4","Range of Values",8400,8400,NA
".","Missing",1040,9440,NA
