"RDQ070.Code.or.Value","RDQ070.Value.Description","RDQ070.Count","RDQ070.Cumulative","RDQ070.Skip.to.Item"
"1","Yes",1331,1331,""
"2","No",8330,9661,"RDQ140"
"7","Refused",0,9661,"RDQ140"
"9","Don't know",5,9666,"RDQ140"
".","Missing",0,9666,""
